cve_mun,municipio,grad_margi,grad_rez_social,conectividad,servicios_basicos,elementos_salud,educacion,desigualdad,dependencia_economica,calidad_vivienda,seguridad_alimentaria,seguridad_social
20093,San Andrés Lagunas,Medio,Medio,Muy bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20094,San Andrés Nuxiño,Medio,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Muy alto,Medio,Medio,Alto
20095,San Andrés Paxtlán,Alto,Muy alto,Bajo,Muy bajo,,Alto,Medio,Muy alto,Medio,Bajo,Medio
20096,San Andrés Sinaxtla,Bajo,Bajo,Medio,Medio,,Bajo,Medio,Alto,Medio,Medio,Medio
20097,San Andrés Solaga,Medio,Medio,Bajo,Bajo,,Medio,Medio,Alto,Medio,Alto,Medio
20098,San Andrés Teotilálpam,Alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20099,San Andrés Tepetlapa,Muy alto,Alto,Muy bajo,Muy bajo,,Alto,Medio,,Medio,Bajo,Alto
20100,San Andrés Yaá,Alto,Alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Alto,Medio
20101,San Andrés Zabache,Alto,Alto,Bajo,Muy bajo,Medio,Alto,Medio,Alto,Medio,Bajo,Medio
20102,San Andrés Zautla,Medio,Bajo,Medio,Bajo,Medio,Bajo,Alto,Medio,Medio,Medio,Medio
20103,San Antonino Castillo Velasco,Alto,Medio,Medio,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Bajo
20104,San Antonino el Alto,Alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Alto
20105,San Antonino Monte Verde,Medio,Medio,Bajo,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Bajo,Medio
20106,San Antonio Acutla,Medio,Medio,Bajo,Medio,,Medio,Medio,Alto,Medio,Medio,Alto
20107,San Antonio de la Cal,Muy bajo,Bajo,Medio,Medio,Medio,Bajo,Medio,Alto,Medio,Medio,Bajo
20108,San Antonio Huitepec,Alto,Medio,Muy bajo,Muy bajo,Muy bajo,Medio,Alto,Medio,Medio,Bajo,Medio
20109,San Antonio Nanahuatípam,Medio,Bajo,Medio,Bajo,Alto,Bajo,Alto,Medio,Medio,Medio,Alto
20110,San Antonio Sinicahua,Muy alto,Muy alto,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Bajo
20111,San Antonio Tepetlapa,Muy alto,Alto,Bajo,Muy bajo,Bajo,Alto,Medio,Medio,Medio,Bajo,Medio
20112,San Baltazar Chichicápam,Alto,Medio,Bajo,Muy bajo,Medio,Alto,Alto,Medio,Medio,Medio,Bajo
20113,San Baltazar Loxicha,Medio,Medio,Medio,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20114,San Baltazar Yatzachi el Bajo,Medio,Medio,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Alto,Medio
20115,San Bartolo Coyotepec,Bajo,Muy bajo,Medio,Medio,Alto,Bajo,Alto,Medio,Medio,Medio,Bajo
20116,San Bartolomé Ayautla,Muy alto,Muy alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Bajo,Muy bajo,Medio
20117,San Bartolomé Loxicha,Alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Bajo,Bajo,Alto
20118,San Bartolomé Quialana,Alto,Medio,Medio,Muy bajo,,Alto,Medio,Alto,Medio,Alto,Bajo
20119,San Bartolomé Yucuañe,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20120,San Bartolomé Zoogocho,Medio,Medio,Medio,Muy bajo,,Medio,Alto,Medio,Medio,Medio,Bajo
20121,San Bartolo Soyaltepec,Medio,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20122,San Bartolo Yautepec,Medio,Bajo,Muy bajo,Bajo,Alto,Bajo,Medio,Alto,Medio,Medio,Medio
20123,San Bernardo Mixtepec,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Medio,Medio,Medio,Medio
20124,San Blas Atempa,Muy alto,Alto,Bajo,Bajo,Medio,Muy alto,Medio,Alto,Medio,Bajo,Medio
20125,San Carlos Yautepec,Alto,Alto,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Medio
20126,San Cristóbal Amatlán,Muy alto,Muy alto,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Alto
20127,San Cristóbal Amoltepec,Alto,Muy alto,Muy bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20128,San Cristóbal Lachirioag,Medio,Bajo,Bajo,Medio,,Medio,Medio,Alto,Medio,Alto,Bajo
20129,San Cristóbal Suchixtlahuaca,Bajo,Muy bajo,Medio,Bajo,Alto,Bajo,Medio,Alto,Medio,Medio,Alto
20130,San Dionisio del Mar,Muy alto,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20131,San Dionisio Ocotepec,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Bajo
20132,San Dionisio Ocotlán,Medio,Bajo,Medio,Bajo,,Bajo,Alto,Medio,Medio,Medio,Medio
20133,San Esteban Atatlahuca,Alto,Muy alto,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Alto
20134,San Felipe Jalapa de Díaz,Muy alto,Muy alto,Bajo,Muy bajo,Medio,Alto,Alto,Medio,Bajo,Muy bajo,Bajo
20135,San Felipe Tejalápam,Medio,Medio,Medio,Muy bajo,Medio,Medio,Medio,Medio,Medio,Medio,Bajo
20136,San Felipe Usila,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Alto,Medio,Medio,Bajo,Bajo
20137,San Francisco Cahuacuá,Alto,Alto,Muy bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Alto
20138,San Francisco Cajonos,Medio,Medio,Bajo,Medio,,Medio,Medio,Alto,Medio,Medio,Medio
20139,San Francisco Chapulapa,Alto,Alto,Bajo,Bajo,Alto,Alto,Medio,Medio,Medio,Muy bajo,Alto
20140,San Francisco Chindúa,Medio,Medio,Bajo,Muy bajo,Medio,Medio,,Alto,Medio,Bajo,Medio
20141,San Francisco del Mar,Alto,Medio,Bajo,Muy bajo,Muy bajo,Medio,Medio,Medio,Bajo,Muy bajo,Medio
20142,San Francisco Huehuetlán,Alto,Alto,Muy bajo,Muy bajo,Alto,Alto,Medio,Medio,Medio,Medio,Alto
20143,San Francisco Ixhuatán,Bajo,Bajo,Medio,Bajo,Alto,Medio,Alto,Medio,Medio,Bajo,Alto
20144,San Francisco Jaltepetongo,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20145,San Francisco Lachigoló,Muy bajo,Bajo,Medio,Medio,Medio,Bajo,Alto,Medio,Medio,Medio,Bajo
20146,San Francisco Logueche,Alto,Muy alto,Bajo,Muy bajo,,Alto,Medio,,Medio,Medio,Alto
20147,San Francisco Nuxaño,Medio,Medio,Bajo,Bajo,,Medio,Medio,Alto,Medio,Medio,Alto
20148,San Francisco Ozolotepec,Alto,Alto,Muy bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Medio
20149,San Francisco Sola,Alto,Alto,Medio,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo
20150,San Francisco Telixtlahuaca,Muy bajo,Bajo,Medio,Medio,Alto,Bajo,Medio,Alto,Medio,Medio,Medio
20151,San Francisco Teopan,Alto,Medio,Muy bajo,Bajo,Alto,Medio,Medio,Medio,Medio,Muy bajo,Alto
20152,San Francisco Tlapancingo,Muy alto,Alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Muy bajo,Alto
20153,San Gabriel Mixtepec,Medio,Medio,Medio,Muy bajo,Medio,Medio,Medio,Medio,Bajo,Medio,Alto
20154,San Ildefonso Amatlán,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20155,San Ildefonso Sola,Muy alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Bajo
20156,San Ildefonso Villa Alto,Medio,Bajo,Bajo,Bajo,Bajo,Medio,Alto,Alto,Medio,Medio,Bajo
20157,San Jacinto Amilpas,Muy bajo,Muy bajo,Alto,Alto,Alto,Bajo,Medio,Medio,Medio,Medio,Bajo
20158,San Jacinto Tlacotepec,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Bajo,Alto
20159,San Jerónimo Coatlán,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Medio,Medio
20160,San Jerónimo Silacayoapilla,Medio,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20161,San Jerónimo Sosola,Alto,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20162,San Jerónimo Taviche,Muy alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Muy alto,Bajo,Bajo,Medio
20163,San Jerónimo Tecóatl,Alto,Alto,Bajo,Muy bajo,Alto,Alto,Alto,Medio,Medio,Bajo,Medio
20164,San Jorge Nuchita,Alto,Medio,Bajo,Bajo,Medio,Alto,Medio,Medio,Medio,Muy bajo,Medio
20165,San José Ayuquila,Alto,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Alto
20166,San José Chiltepec,Medio,Bajo,Bajo,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Muy bajo,Bajo
20167,San José del Peñasco,Alto,Alto,Medio,Muy bajo,,Medio,Medio,Alto,Medio,Alto,Medio
20168,San José Estancia Grande,Alto,Medio,Medio,Muy bajo,,Alto,Medio,Medio,Bajo,Bajo,Medio
20169,San José Independencia,Muy alto,Muy alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20170,San José Lachiguiri,Muy alto,Muy alto,Bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Bajo,Alto
20171,San José Tenango,Muy alto,Muy alto,Muy bajo,Muy bajo,Bajo,Alto,Medio,Medio,Medio,Bajo,Medio
20172,San Juan Achiutla,Bajo,Bajo,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Alto
20173,San Juan Atepec,Medio,Medio,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Alto,Alto
20174,Ánimas Trujano,Muy bajo,Muy bajo,Medio,Alto,,Bajo,Alto,Alto,Medio,Medio,Bajo
20175,San Juan Bautista Atatlahuca,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Alto
20176,San Juan Bautista Coixtlahuaca,Alto,Medio,Bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Medio,Medio
20177,San Juan Bautista Cuicatlán,Bajo,Bajo,Bajo,Bajo,Alto,Medio,Alto,Medio,Medio,Medio,Medio
20178,San Juan Bautista Guelache,Bajo,Muy bajo,Medio,Bajo,Medio,Bajo,Alto,Medio,Medio,Medio,Bajo
20179,San Juan Bautista Jayacatlán,Medio,Bajo,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Alto,Medio
20180,San Juan Bautista Lo de Soto,Medio,Bajo,Bajo,Bajo,Alto,Medio,Alto,Medio,Bajo,Bajo,Medio
20181,San Juan Bautista Suchitepec,Medio,Medio,Muy bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Alto,Alto
20182,San Juan Bautista Tlacoatzintepec,Alto,Muy alto,Muy bajo,Muy bajo,,Alto,Medio,Medio,Medio,Bajo,Medio
20183,San Juan Bautista Tlachichilco,Alto,Medio,Muy bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20184,San Juan Bautista Tuxtepec,Bajo,Bajo,Medio,Bajo,Alto,Medio,Alto,Medio,Medio,Bajo,Muy bajo
20185,San Juan Cacahuatepec,Medio,Bajo,Bajo,Muy bajo,Bajo,Medio,Alto,Medio,Bajo,Bajo,Medio
20186,San Juan Cieneguilla,Medio,Bajo,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Alto,Alto
20187,San Juan Coatzóspam,Alto,Alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20188,San Juan Colorado,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Alto,Medio,Medio,Muy bajo,Medio
20189,San Juan Comaltepec,Muy alto,Muy alto,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Alto
20190,San Juan Cotzocón,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Bajo,Bajo
20191,San Juan Chicomezúchil,Medio,Bajo,Medio,Bajo,Alto,Bajo,Medio,Alto,Medio,Medio,Alto
20192,San Juan Chilateca,Muy bajo,Muy bajo,Medio,Medio,,Bajo,Alto,Medio,Medio,Alto,Bajo
20193,San Juan del Estado,Bajo,Bajo,Medio,Medio,,Bajo,Medio,Alto,Medio,Medio,Bajo
20194,San Juan del Río,Medio,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Medio,Alto,Bajo
20195,San Juan Diuxi,Muy alto,Muy alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20196,San Juan Evangelista Analco,Bajo,Bajo,Medio,Bajo,Alto,Bajo,Medio,Alto,Medio,Alto,Medio
20197,San Juan Guelavía,Medio,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20198,San Juan Guichicovi,Alto,Medio,Bajo,Muy bajo,Bajo,Alto,Medio,Medio,Medio,Bajo,Medio
20199,San Juan Ihualtepec,Alto,Medio,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20200,San Juan Juquila Mixes,Alto,Muy alto,Bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Medio
20201,San Juan Juquila Vijanos,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Alto,Medio
20202,San Juan Lachao,Alto,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Medio,Alto
20203,San Juan Lachigalla,Muy alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20204,San Juan Lajarcia,Medio,Bajo,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Medio
20205,San Juan Lalana,Muy alto,Alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Muy bajo,Bajo
20206,San Juan de los Cués,Alto,Medio,Bajo,Muy bajo,Bajo,Medio,Alto,Medio,Medio,Medio,Medio
20207,San Juan Mazatlán,Alto,Alto,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Medio
20208,San Juan Mixtepec,Alto,Alto,Bajo,Muy bajo,Medio,Alto,Medio,Alto,Medio,Bajo,Bajo
20209,San Juan Mixtepec,Alto,Alto,Muy bajo,Medio,Alto,Alto,Medio,Alto,Medio,Alto,Medio
20210,San Juan Ñumí,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Medio
20211,San Juan Ozolotepec,Alto,Alto,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Alto
20212,San Juan Petlapa,Muy alto,Muy alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Muy bajo,Medio
20213,San Juan Quiahije,Alto,Alto,Medio,Muy bajo,Muy bajo,Alto,Medio,Alto,Medio,Medio,Alto
20214,San Juan Quiotepec,Alto,Medio,Bajo,Bajo,,Alto,Medio,Alto,Medio,Medio,Alto
20215,San Juan Sayultepec,Bajo,Bajo,Bajo,Muy bajo,,Bajo,Medio,Alto,Medio,Medio,Medio
20216,San Juan Tabaá,Medio,Medio,Bajo,Medio,Medio,Medio,Medio,Alto,Medio,Alto,Medio
20217,San Juan Tamazola,Muy alto,Muy alto,Muy bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Medio
20218,San Juan Teita,Alto,Alto,Muy bajo,Muy bajo,,Medio,Medio,,Medio,Bajo,Alto
20219,San Juan Teitipac,Alto,Medio,Medio,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
20220,San Juan Tepeuxila,Medio,Medio,Muy bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Alto
20221,San Juan Teposcolula,Medio,Medio,Bajo,Bajo,,Medio,Medio,Medio,Medio,Medio,Medio
20222,San Juan Yaeé,Medio,Medio,Muy bajo,Bajo,Medio,Medio,Medio,Alto,Medio,Alto,Alto
20223,San Juan Yatzona,Bajo,Bajo,Bajo,Medio,Alto,Medio,Medio,Alto,Medio,Bajo,Medio
20224,San Juan Yucuita,Medio,Bajo,Bajo,Bajo,Alto,Bajo,Alto,Medio,Medio,Alto,Medio
20225,San Lorenzo,Muy alto,Alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Muy bajo,Medio
20226,San Lorenzo Albarradas,Medio,Bajo,Bajo,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20227,San Lorenzo Cacaotepec,Muy bajo,Muy bajo,Medio,Medio,Bajo,Bajo,Medio,Alto,Medio,Medio,Bajo
20228,San Lorenzo Cuaunecuiltitla,Alto,Alto,Muy bajo,Muy bajo,Medio,Alto,Medio,Alto,Bajo,Medio,Alto
20229,San Lorenzo Texmelúcan,Muy alto,Muy alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Alto
20230,San Lorenzo Victoria,Medio,Bajo,Bajo,Bajo,Alto,Medio,Medio,Alto,Bajo,Bajo,Bajo
20231,San Lucas Camotlán,Muy alto,Muy alto,Muy bajo,Muy bajo,Medio,Alto,Alto,Medio,Medio,Alto,Alto
20232,San Lucas Ojitlán,Muy alto,Alto,Bajo,Muy bajo,Medio,Medio,Alto,Medio,Medio,Muy bajo,Medio
20233,San Lucas Quiaviní,Alto,Medio,Bajo,Bajo,Medio,Alto,Medio,Medio,Medio,Alto,Bajo
20234,San Lucas Zoquiápam,Muy alto,Muy alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Bajo,Alto
20235,San Luis Amatlán,Alto,Medio,Bajo,Muy bajo,Bajo,Alto,Medio,Alto,Medio,Medio,Medio
20236,San Marcial Ozolotepec,Muy alto,Muy alto,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Alto
20237,San Marcos Arteaga,Bajo,Bajo,Bajo,Medio,,Medio,Medio,Alto,Medio,Bajo,Bajo
20238,San Martín de los Cansecos,Medio,Medio,Medio,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Bajo
20239,San Martín Huamelúlpam,Medio,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Alto
20240,San Martín Itunyoso,Muy alto,Muy alto,Muy bajo,Muy bajo,Bajo,Alto,Medio,,Medio,Muy bajo,Medio
20241,San Martín Lachilá,Medio,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Bajo
20242,San Martín Peras,Muy alto,Muy alto,Bajo,Muy bajo,Muy bajo,Alto,Alto,Medio,Medio,Bajo,Medio
20243,San Martín Tilcajete,Bajo,Bajo,Medio,Bajo,Alto,Bajo,Medio,Medio,Medio,Medio,Bajo
20244,San Martín Toxpalan,Alto,Medio,Medio,Muy bajo,Medio,Medio,Alto,Medio,Medio,Bajo,Medio
20245,San Martín Zacatepec,Alto,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Medio
20246,San Mateo Cajonos,Medio,Medio,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Alto
20247,Capulálpam de Méndez,Muy bajo,Muy bajo,Medio,Alto,Alto,Bajo,Alto,Alto,Medio,Alto,Medio
20248,San Mateo del Mar,Muy alto,Muy alto,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Medio
20249,San Mateo Yoloxochitlán,Alto,Alto,Bajo,Muy bajo,Bajo,Medio,Alto,Medio,Medio,Bajo,Medio
20250,San Mateo Etlatongo,Medio,Medio,Medio,Muy bajo,Medio,Bajo,Medio,Medio,Medio,Bajo,Alto
20251,San Mateo Nejápam,Alto,Alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,,Bajo,Bajo,Alto
20252,San Mateo Peñasco,Alto,Alto,Muy bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Medio
20253,San Mateo Piñas,Muy alto,Muy alto,Muy bajo,Muy bajo,,Medio,Medio,Medio,Medio,Bajo,Bajo
20254,San Mateo Río Hondo,Alto,Alto,Bajo,Bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20255,San Mateo Sindihui,Alto,Medio,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20256,San Mateo Tlapiltepec,Medio,Bajo,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Alto
20257,San Melchor Betaza,Alto,Alto,Muy bajo,Muy bajo,Medio,Alto,Medio,Muy alto,Medio,Bajo,Medio
20258,San Miguel Achiutla,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Bajo,Medio
20259,San Miguel Ahuehuetitlán,Alto,Alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Alto,Bajo,Bajo,Alto
20260,San Miguel Aloápam,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
20261,San Miguel Amatitlán,Alto,Medio,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Bajo,Bajo,Alto
20262,San Miguel Amatlán,Bajo,Bajo,Bajo,Medio,Alto,Bajo,Medio,Alto,Medio,Alto,Medio
20263,San Miguel Coatlán,Alto,Alto,Bajo,Muy bajo,Medio,Alto,Medio,Alto,Medio,Bajo,Alto
20264,San Miguel Chicahua,Alto,Alto,Bajo,Muy bajo,Medio,Alto,Medio,Medio,Medio,Bajo,Alto
20265,San Miguel Chimalapa,Alto,Medio,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20266,San Miguel del Puerto,Alto,Alto,Bajo,Muy bajo,Bajo,Medio,Medio,Medio,Bajo,Medio,Medio
20267,San Miguel del Río,Bajo,Bajo,Bajo,Bajo,,Bajo,Medio,Alto,Medio,Alto,Bajo
20268,San Miguel Ejutla,Medio,Bajo,Medio,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,Bajo
20269,San Miguel el Grande,Medio,Alto,Bajo,Muy bajo,Medio,Medio,Alto,Medio,Medio,Medio,Alto
20270,San Miguel Huautla,Muy alto,Muy alto,Muy bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Bajo,Alto
20271,San Miguel Mixtepec,Muy alto,Muy alto,Muy bajo,Muy bajo,Medio,Alto,Medio,Medio,Medio,Muy bajo,Medio
20272,San Miguel Panixtlahuaca,Alto,Medio,Medio,Muy bajo,,Alto,Medio,Medio,Medio,Medio,Medio
20273,San Miguel Peras,Muy alto,Muy alto,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20274,San Miguel Piedras,Alto,Muy alto,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20275,San Miguel Quetzaltepec,Alto,Alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Alto,Medio,Medio,Medio
20276,San Miguel Santa Flor,Muy alto,Muy alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Medio,Alto
20277,Villa Sola de Vega,Alto,Alto,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Muy bajo
20278,San Miguel Soyaltepec,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Alto,Medio,Medio,Muy bajo,Medio
20279,San Miguel Suchixtepec,Medio,Medio,Medio,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Alto,Medio
20280,Villa Talea de Castro,Medio,Bajo,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Alto,Medio
20281,San Miguel Tecomatlán,Bajo,Bajo,Medio,Bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20282,San Miguel Tenango,Alto,Medio,Bajo,Medio,,Medio,Medio,Alto,Medio,Bajo,Medio
20283,San Miguel Tequixtepec,Medio,Bajo,Bajo,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,Alto
20284,San Miguel Tilquiápam,Muy alto,Muy alto,Medio,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Bajo
20285,San Miguel Tlacamama,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Medio,Bajo,Medio,Medio
20286,San Miguel Tlacotepec,Alto,Medio,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Bajo
20287,San Miguel Tulancingo,Medio,Bajo,Bajo,Medio,,Medio,Medio,Alto,Medio,Alto,Medio
20288,San Miguel Yotao,Alto,Alto,Bajo,Muy bajo,Alto,Medio,Medio,,Medio,Muy bajo,Alto
20289,San Nicolás,Alto,Medio,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20290,San Nicolás Hidalgo,Medio,Bajo,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20291,San Pablo Coatlán,Alto,Medio,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Alto
20292,San Pablo Cuatro Venados,Muy alto,Alto,Medio,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Bajo
20293,San Pablo Etla,Muy bajo,Muy bajo,Medio,Medio,,Bajo,Medio,Medio,Alto,Medio,Bajo
20294,San Pablo Huitzo,Muy bajo,Bajo,Medio,Bajo,Medio,Bajo,Medio,Alto,Medio,Medio,Bajo
20295,San Pablo Huixtepec,Muy bajo,Bajo,Medio,Medio,Alto,Bajo,Medio,Medio,Medio,Medio,Bajo
20296,San Pablo Macuiltianguis,Medio,Bajo,Bajo,Bajo,Alto,Medio,Alto,Medio,Medio,Medio,Alto
20297,San Pablo Tijaltepec,Muy alto,Muy alto,Muy bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Alto
