cve_mun,municipio,grad_margi,grad_rez_social,conectividad,servicios_basicos,elementos_salud,educacion,desigualdad,dependencia_economica,calidad_vivienda,seguridad_alimentaria,seguridad_social
20298,San Pablo Villa de Mitla,Medio,Medio,Medio,Bajo,Medio,Medio,Medio,Medio,Medio,Medio,Bajo
20299,San Pablo Yaganiza,Medio,Medio,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Alto
20300,San Pedro Amuzgos,Alto,Alto,Bajo,Muy bajo,,Medio,Alto,Medio,Medio,Bajo,Medio
20301,San Pedro Apóstol,Medio,Bajo,Medio,Bajo,Alto,Medio,Alto,Alto,Medio,Medio,Medio
20302,San Pedro Atoyac,Muy alto,Alto,Bajo,Muy bajo,,Alto,Medio,Medio,Medio,Bajo,Alto
20303,San Pedro Cajonos,Medio,Medio,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Bajo
20304,San Pedro Coxcaltepec Cántaros,Alto,Alto,Muy bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Alto,Medio
20305,San Pedro Comitancillo,Bajo,Muy bajo,Medio,Bajo,Medio,Bajo,Medio,Medio,Medio,Bajo,Alto
20306,San Pedro el Alto,Muy alto,Alto,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Alto
20307,San Pedro Huamelula,Alto,Alto,Bajo,Muy bajo,Alto,Medio,Medio,Medio,Bajo,Bajo,Medio
20308,San Pedro Huilotepec,Alto,Medio,Medio,Muy bajo,Medio,Medio,Medio,Alto,Bajo,Bajo,Medio
20309,San Pedro Ixcatlán,Muy alto,Muy alto,Bajo,Muy bajo,Medio,Alto,Alto,Medio,Medio,Muy bajo,Alto
20310,San Pedro Ixtlahuaca,Muy alto,Medio,Medio,Muy bajo,Bajo,Bajo,Medio,Alto,Medio,Bajo,Bajo
20311,San Pedro Jaltepetongo,Muy alto,Alto,Bajo,Muy bajo,Alto,Alto,Medio,Alto,Medio,Alto,Alto
20312,San Pedro Jicayán,Muy alto,Alto,Bajo,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Muy bajo,Bajo
20313,San Pedro Jocotipac,Alto,Alto,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Medio,Alto
20314,San Pedro Juchatengo,Medio,Bajo,Bajo,Medio,,Medio,Medio,Alto,Medio,Alto,Bajo
20315,San Pedro Mártir,Muy alto,Muy alto,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Alto,Bajo,Bajo
20316,San Pedro Mártir Quiechapa,Medio,Medio,Bajo,Muy bajo,Alto,Bajo,Medio,Alto,Medio,Muy bajo,Medio
20317,San Pedro Mártir Yucuxaco,Alto,Alto,Bajo,Muy bajo,,Bajo,Medio,Alto,Medio,Medio,Bajo
