cve_mun,municipio_norm,municipio,grad_margi,grad_rez_social,conectividad,servicios_basicos,elementos_salud,educacion,desigualdad,dependencia_economica,calidad_vivienda,seguridad_alimentaria,seguridad_social
20055,mariscaladejuarez,Mariscala de Juárez,Medio,Bajo,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Medio,Medio
20056,martiresdetacubaya,Mártires de Tacubaya,Alto,Medio,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Bajo,Bajo,Medio
20057,matiasromeroavendano,Matías Romero Avendaño,Medio,Bajo,Medio,Bajo,Medio,Medio,,Medio,Medio,Bajo,Bajo
20058,mazatlanvilladeflores,Mazatlán Villa de Flores,Muy alto,Muy alto,Muy bajo,Muy bajo,Bajo,Alto,Medio,Medio,Medio,Bajo,Alto
20059,miahuatlandeporfiriodiaz,Miahuatlán de Porfirio Díaz,Medio,Medio,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Muy bajo
20060,mixistlandelareforma,Mixistlán de la Reforma,Alto,Alto,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Alto
20061,monjas,Monjas,Muy alto,Alto,Bajo,Muy bajo,Alto,Alto,Medio,Alto,Medio,Medio,Medio
20062,natividad,Natividad,Bajo,Bajo,Medio,Medio,Alto,Bajo,Medio,Medio,Medio,Alto,Medio
20063,nazarenoetla,Nazareno Etla,Muy bajo,Muy bajo,Medio,Medio,Medio,Bajo,Medio,Alto,Medio,Medio,Medio
20064,nejapademadero,Nejapa de Madero,Medio,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
20065,ixpantepecnieves,Ixpantepec Nieves,Alto,Medio,Bajo,Bajo,,Alto,Medio,Alto,Medio,Bajo,Bajo
20066,santiagoniltepec,Santiago Niltepec,Medio,Bajo,Bajo,Bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Medio
20067,oaxacadejuarez,Oaxaca de Juárez,Muy bajo,Muy bajo,Alto,Medio,Alto,Bajo,Medio,Medio,Medio,Medio,Bajo
20068,ocotlandemorelos,Ocotlán de Morelos,Medio,Bajo,Medio,Bajo,Medio,Medio,Medio,Medio,Medio,Medio,Bajo
20069,lape,La Pe,Alto,Alto,Muy bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Alto
20070,pinotepadedonluis,Pinotepa de Don Luis,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Alto,Medio,Medio,Bajo,Medio
20071,plumahidalgo,Pluma Hidalgo,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20072,sanjosedelprogreso,San José del Progreso,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Medio
20073,putlavilladeguerrero,Putla Villa de Guerrero,Medio,Medio,Bajo,Muy bajo,Alto,Medio,Alto,Medio,Medio,Bajo,Bajo
20074,santacatarinaquioquitani,Santa Catarina Quioquitani,Medio,Medio,Muy bajo,Bajo,Alto,Medio,Medio,Muy alto,Medio,Medio,Alto
20075,reformadepineda,Reforma de Pineda,Bajo,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20076,lareforma,La Reforma,Medio,Medio,Bajo,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Bajo,Medio
20077,reyesetla,Reyes Etla,Bajo,Bajo,Medio,Bajo,Alto,Bajo,Alto,Medio,Medio,Medio,Medio
