clave_mun,municipio,poblacion,pob_indigena,pob_afrodescendiente,pob_analfabeta,pob_discapacidad,viviendas,viv_internet,viv_computadoras,viv_celular,ind_rez_social,grad_rez_social,ind_margi,ind_margi_norm,grad_margi,pobr,pobr_ext,pobr_mod,pob_vuln_carencias,pob_vuln_ingresos,pob_no_vuln,rez_educativo,pob_car_hogar,pob_car_salud,pob_car_seg_social,pob_car_ser_basicos,pob_car_alimentacion,pob_car_al_una,pon_car_al_tres,pob_bajo_linea_asist,pob_bajo_linea_min_asist,gini,tasa_ingresos,cama_hospital,cama_fuera_hospital,cama_rec_nac,consultorios,equipamento,medicos_otros,medicos_gen_esp_odont,otro_pers,otro_pers_prof,enfermeria_contac_paciente,enfermeria_otras,medicos_adiest,per_tecnico,total_elementos_salud,por_mas_15_analfabeta,tasa_alfa_1524,grad_escol_prom_15
20504,Nuevo Zoquiápam,1590,1310,79,62,152,404,87,46,268,-0.166058,Bajo,53.67157293,0.840422136,Medio,1302,309,993,272,10,8,391,498,193,1424,833,265,1574,595,1312,691,0.3703126709,0.1741529976,0,2,0,2,0,0,2,0,1,1,0,0,1,9,70.7,86.1,5.2
20505,Santo Domingo Ingenio,7681,733,86,695,639,2513,703,479,2052,-0.598843,Bajo,56.21391128,0.880231616,Bajo,4396,820,3576,1610,791,889,1915,776,2013,4238,1452,2397,6005,1991,5187,2169,0.3752260009,0.1644140035,0,1,0,1,0,0,2,0,1,5,0,1,1,12,90.7,100,6.8
20506,Santo Domingo Albarradas,798,791,49,89,84,234,33,17,87,0.303456,Medio,53.17791649,0.832692163,Medio,741,244,497,43,8,6,231,126,163,640,521,107,784,314,750,542,0.3690320055,0.1878143301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.6,100,6.5
20507,Santo Domingo Armenta,3155,176,2901,418,274,939,32,61,766,0.662058,Medio,50.78522115,0.795225884,Alto,2758,1125,1634,317,41,39,1109,748,703,2619,2195,1534,3076,1903,2799,1622,0.3756633401,0.1438029955,0,0,0,1,0,0,2,0,0,2,0,0,0,5,80.2,98.2,6.1
20508,Santo Domingo Chihuitán,1618,328,11,111,201,547,168,116,452,-0.4922,Bajo,55.15141386,0.863594385,Bajo,511,73,438,688,42,378,328,254,195,902,546,272,1199,377,553,131,0.4110263288,0.1315446695,0,1,0,1,0,0,1,0,0,3,0,0,1,7,91,98.6,8.5
20509,Santo Domingo de Morelos,11384,10852,450,1595,584,2491,240,180,1292,2.00953,Muy alto,47.10442702,0.737589771,Muy alto,9811,5491,4321,1392,44,142,5263,4138,1548,10410,10256,6803,11203,9043,9855,6294,0.4042793314,0.1122536659,0,0,0,4,0,0,3,0,0,3,0,0,2,12,77.6,97.3,5.7
20510,Santo Domingo Ixcatlán,760,265,0,43,78,219,57,23,89,1.119616,Alto,50.73431988,0.794428841,Alto,657,197,461,85,11,7,161,324,26,566,600,68,742,301,668,427,0.3565383355,0.2388119996,0,0,0,2,0,0,2,0,0,2,0,1,0,7,88.2,98.5,8
20511,Santo Domingo Nuxaá,3335,2712,86,137,323,915,60,23,388,1.96311,Muy alto,48.24695292,0.755480136,Muy alto,3239,1606,1633,79,13,7,715,829,355,2851,3074,1271,3317,1865,3251,2749,0.3578126729,0.1360340007,0,0,0,6,0,0,6,0,0,7,0,2,1,22,92.3,100,7.7
20512,Santo Domingo Ozolotepec,1101,828,10,162,76,267,5,4,87,1.223335,Alto,50.94897288,0.797790008,Alto,1050,443,607,51,1,0,439,294,207,972,643,431,1101,615,1051,761,0.3456226587,0.2741790116,0,0,0,1,0,0,0,0,0,1,0,0,0,2,93.8,99,7.1
20513,Santo Domingo Petapa,9027,5451,167,961,850,2549,434,223,1524,0.444925,Medio,53.12509782,0.831865096,Medio,6859,1927,4932,1571,258,343,2874,2194,2424,6779,5923,3123,8430,4704,7118,2956,0.3664103349,0.1617173354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.8,99.5,5.5
